"geographicAreaM49","measuredElement","measuredItemCPC","fbsDistribParam","timePointYears","Value"
"106",61,"367","mu",2009,4047
"106",61,"373","mu",2009,2085
"106",61,"388","mu",2009,130208
"106",61,"393","mu",2009,22098
"106",61,"394","mu",2009,22424
"106",61,"397","mu",2009,14448
"106",61,"399","mu",2009,21742
"106",61,"401","mu",2009,91725
"106",61,"402","mu",2009,3704
"106",61,"403","mu",2009,73148
"106",61,"406","mu",2009,27700
"106",61,"414","mu",2009,16559
"106",61,"417","mu",2009,1306
"106",61,"420","mu",2009,10934
"106",61,"426","mu",2009,23602
"106",61,"44","mu",2009,647709
"106",61,"446","mu",2009,4011
"106",61,"449","mu",2009,8402
"106",61,"459","mu",2009,0
"106",61,"461","mu",2009,9267
"106",61,"463","mu",2009,43102
"106",61,"486","mu",2009,684104
"106",61,"489","mu",2009,4324
"106",61,"490","mu",2009,194828
"106",61,"495","mu",2009,87317
"106",61,"497","mu",2009,105429
"106",61,"507","mu",2009,34675
"106",61,"512","mu",2009,608
"106",61,"515","mu",2009,37212
"106",61,"521","mu",2009,128630
"106",61,"523","mu",2009,749
"106",61,"526","mu",2009,32925
"106",61,"530","mu",2009,1184
"106",61,"531","mu",2009,9741
"106",61,"534","mu",2009,78009
"106",61,"536","mu",2009,17454
"106",61,"541","mu",2009,0
"106",61,"544","mu",2009,33674
"106",61,"547","mu",2009,3096
"106",61,"550","mu",2009,2053
"106",61,"552","mu",2009,835
"106",61,"554","mu",2009,204
"106",61,"558","mu",2009,2179
"106",61,"56","mu",2009,2202366
"106",61,"560","mu",2009,23355
"106",61,"569","mu",2009,525
"106",61,"571","mu",2009,9401
"106",61,"572","mu",2009,21582
"106",61,"574","mu",2009,140453
"106",61,"577","mu",2009,8266
"106",61,"603","mu",2009,76
"106",61,"619","mu",2009,30162
"106",61,"656","mu",2009,456987
"106",61,"661","mu",2009,73274
"106",61,"71","mu",2009,13915
"106",61,"75","mu",2009,30234
"106",61,"754","mu",2009,0
"106",61,"79","mu",2009,6875
"106",61,"83","mu",2009,34699
"106",61,"866","mu",2009,1130587
"106",61,"882","mu",2009,1690087
"106",61,"946","mu",2009,0
"106",61,"976","mu",2009,1501456
"106",91,"101","mu",2009,31
"106",91,"1016","mu",2009,0
"106",91,"1034","mu",2009,71350
"106",91,"1057","mu",2009,14810
"106",91,"1062","mu",2009,19075
"106",91,"1079","mu",2009,2631
"106",91,"108","mu",2009,2294
"106",91,"1096","mu",2009,745
"106",91,"1140","mu",2009,0
"106",91,"116","mu",2009,148353
"106",91,"1163","mu",2009,1979
"106",91,"1166","mu",2009,724
"106",91,"1168","mu",2009,12899
"106",91,"1182","mu",2009,3405
"106",91,"119","mu",2009,65
"106",91,"122","mu",2009,5877
"106",91,"1275","mu",2009,8789
"106",91,"129","mu",2009,0
"106",91,"149","mu",2009,22
"106",91,"15","mu",2009,209042
"106",91,"156","mu",2009,19
"106",91,"157","mu",2009,3
"106",91,"162","mu",2009,941
"106",91,"176","mu",2009,5361
"106",91,"181","mu",2009,847
"106",91,"187","mu",2009,5799
"106",91,"191","mu",2009,2628
"106",91,"201","mu",2009,1445
"106",91,"211","mu",2009,4270
"106",91,"221","mu",2009,654
"106",91,"222","mu",2009,494
"106",91,"223","mu",2009,759
"106",91,"225","mu",2009,1579
"106",91,"229","mu",2009,475
"106",91,"230","mu",2009,927
"106",91,"234","mu",2009,1005
"106",91,"236","mu",2009,71655
"106",91,"242","mu",2009,304
"106",91,"249","mu",2009,73
"106",91,"256","mu",2009,0
"106",91,"257","mu",2009,59375
"106",91,"260","mu",2009,1027
"106",91,"265","mu",2009,0
